merchant,bucket,category,your_fix
ABC ENTE,you_tag_shop,Uncategorized,
ARTI ENT,you_tag_shop,Uncategorized,
BALAJI,you_tag_shop,Uncategorized,
INNOVATIVE RETA,you_tag_shop,Uncategorized,
M S SAPTRISHI,you_tag_shop,Uncategorized,
M S VASC,you_tag_shop,Uncategorized,
MAA AMBE,you_tag_shop,Uncategorized,
OM SAIRA,you_tag_shop,Uncategorized,
OM TRADE,you_tag_shop,Uncategorized,
RIYA AGENCIES,you_tag_shop,Uncategorized,
RS ENTER,you_tag_shop,Uncategorized,
SAI ENTE,you_tag_shop,Uncategorized,
SAPTRISHI CREAT,you_tag_shop,Uncategorized,
SARITA DISTRIBU,you_tag_shop,Uncategorized,
SHREE,you_tag_shop,Uncategorized,
SHREE SAI AGENC,you_tag_shop,Uncategorized,
SHREE SAI ENTER,you_tag_shop,Uncategorized,
SHRI AAS,you_tag_shop,Uncategorized,
SHRI VIS,you_tag_shop,Uncategorized,
TECH UDYAM SOLU,you_tag_shop,Uncategorized,
ABHIJEETSINGHPARIHAR,you_tag_name_or_shop,Uncategorized,
ADITYA,you_tag_name_or_shop,Uncategorized,
ADITYA VISION,you_tag_name_or_shop,Uncategorized,
AKASH,you_tag_name_or_shop,Uncategorized,
AKSHAY,you_tag_name_or_shop,Uncategorized,
ALPHA,you_tag_name_or_shop,Uncategorized,
AMBIKA,you_tag_name_or_shop,Uncategorized,
AMEYA,you_tag_name_or_shop,Uncategorized,
AMGOLA OFFSITE,you_tag_name_or_shop,Uncategorized,
AMIT RAM,you_tag_name_or_shop,Uncategorized,
AMSL,you_tag_name_or_shop,Uncategorized,
ANIL KUM,you_tag_name_or_shop,Uncategorized,
ANITA,you_tag_name_or_shop,Uncategorized,
ANWAR,you_tag_name_or_shop,Uncategorized,
AQUA DUN,you_tag_name_or_shop,Uncategorized,
ARJUN,you_tag_name_or_shop,Uncategorized,
ARUN KUM,you_tag_name_or_shop,Uncategorized,
ASHAPURA,you_tag_name_or_shop,Uncategorized,
ASHISH KUMAR,you_tag_name_or_shop,Uncategorized,
ASHOK,you_tag_name_or_shop,Uncategorized,
ASHWANI,you_tag_name_or_shop,Uncategorized,
ASROF,you_tag_name_or_shop,Uncategorized,
AVINASH,you_tag_name_or_shop,Uncategorized,
BABY KUM,you_tag_name_or_shop,Uncategorized,
BHAGIRAT,you_tag_name_or_shop,Uncategorized,
BHARAT,you_tag_name_or_shop,Uncategorized,
BHAUSAHE,you_tag_name_or_shop,Uncategorized,
BIRU KUM,you_tag_name_or_shop,Uncategorized,
BROOMEES,you_tag_name_or_shop,Uncategorized,
CARE COR,you_tag_name_or_shop,Uncategorized,
CHANDAN,you_tag_name_or_shop,Uncategorized,
CHANDRAM,you_tag_name_or_shop,Uncategorized,
CHHOTI SARAIYAGUNJ BR,you_tag_name_or_shop,Uncategorized,
COPACABANA,you_tag_name_or_shop,Uncategorized,
D P GUPT,you_tag_name_or_shop,Uncategorized,
DATTA,you_tag_name_or_shop,Uncategorized,
DEFMACRO,you_tag_name_or_shop,Uncategorized,
DILIP,you_tag_name_or_shop,Uncategorized,
DINBANDHU,you_tag_name_or_shop,Uncategorized,
DIWANA,you_tag_name_or_shop,Uncategorized,
DROGHERI,you_tag_name_or_shop,Uncategorized,
DUNGARAM,you_tag_name_or_shop,Uncategorized,
EKATRIKA,you_tag_name_or_shop,Uncategorized,
FAIYAZ,you_tag_name_or_shop,Uncategorized,
FOURPIRA,you_tag_name_or_shop,Uncategorized,
GANESH,you_tag_name_or_shop,Uncategorized,
GARIMA,you_tag_name_or_shop,Uncategorized,
GAVASKAR,you_tag_name_or_shop,Uncategorized,
GHANSHYA,you_tag_name_or_shop,Uncategorized,
GO NATUR,you_tag_name_or_shop,Uncategorized,
GOBARDHA,you_tag_name_or_shop,Uncategorized,
GOBARDHAN RAM,you_tag_name_or_shop,Uncategorized,
GOBARDHAN RAM RAMASHIS,you_tag_name_or_shop,Uncategorized,
GOBERDHA,you_tag_name_or_shop,Uncategorized,
GOKULSIN,you_tag_name_or_shop,Uncategorized,
GOVIND,you_tag_name_or_shop,Uncategorized,
GURU COL,you_tag_name_or_shop,Uncategorized,
HARLEYS,you_tag_name_or_shop,Uncategorized,
HEALTH AND,you_tag_name_or_shop,Uncategorized,
HEMARAM,you_tag_name_or_shop,Uncategorized,
IMPERIAL,you_tag_name_or_shop,Uncategorized,
INNOVATI,you_tag_name_or_shop,Uncategorized,
JADHAV,you_tag_name_or_shop,Uncategorized,
JITENDER,you_tag_name_or_shop,Uncategorized,
JITENDRA,you_tag_name_or_shop,Uncategorized,
JYOTISHATECHNOLOGYPR,you_tag_name_or_shop,Uncategorized,
KAJAL SUNIL MAHAJAN,you_tag_name_or_shop,Uncategorized,
KALYANI,you_tag_name_or_shop,Uncategorized,
KIRAN,you_tag_name_or_shop,Uncategorized,
KRISHNA,you_tag_name_or_shop,Uncategorized,
KUMAR,you_tag_name_or_shop,Uncategorized,
LAXMAN,you_tag_name_or_shop,Uncategorized,
LAXMI,you_tag_name_or_shop,Uncategorized,
LIVE FRE,you_tag_name_or_shop,Uncategorized,
LUCKY,you_tag_name_or_shop,Uncategorized,
MAHADIK,you_tag_name_or_shop,Uncategorized,
MAHESH,you_tag_name_or_shop,Uncategorized,
MAITRAYE,you_tag_name_or_shop,Uncategorized,
MANISH,you_tag_name_or_shop,Uncategorized,
MANOJ,you_tag_name_or_shop,Uncategorized,
MEENA,you_tag_name_or_shop,Uncategorized,
MOHIT,you_tag_name_or_shop,Uncategorized,
NADEEM,you_tag_name_or_shop,Uncategorized,
NARAYAN,you_tag_name_or_shop,Uncategorized,
NEW BALA,you_tag_name_or_shop,Uncategorized,
NEW HUMA,you_tag_name_or_shop,Uncategorized,
NEW NAGN,you_tag_name_or_shop,Uncategorized,
NOBLE,you_tag_name_or_shop,Uncategorized,
NURSHAD SHAIKH,you_tag_name_or_shop,Uncategorized,
OAM INDU,you_tag_name_or_shop,Uncategorized,
PARIHAR,you_tag_name_or_shop,Uncategorized,
PATEL,you_tag_name_or_shop,Uncategorized,
PESHWAI,you_tag_name_or_shop,Uncategorized,
POPULAR,you_tag_name_or_shop,Uncategorized,
PRATIBHA,you_tag_name_or_shop,Uncategorized,
PUSHKAR KULKARNI,you_tag_name_or_shop,Uncategorized,
RAHUL,you_tag_name_or_shop,Uncategorized,
RAJANKUM,you_tag_name_or_shop,Uncategorized,
RAJARAM,you_tag_name_or_shop,Uncategorized,
RAJASHRE,you_tag_name_or_shop,Uncategorized,
RAJEEV,you_tag_name_or_shop,Uncategorized,
